,content_id,content,guide,light,interior,story,probability,creativity,production,activity,scale,fear,device,fun,service
0,513069,인 나쁘다 인테리어 문제 이다 각각 장치 작동 법 스스로 터득 되다 기본 어렵다 한 문제 너무 절다 실패,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,505540,칠포루바토 맞다 진짜 웃기다 신기 장치 가득가득 테,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,500819,괜히 칠바토 칠바토 그러다 아니다 방 탈 많이 하다 이거 평점 높다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,480104,인 오다 강남 흙 길 루바토 이다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,479813,이탬 루바토 이다 리뷰 보다 처음 장난 이다 하지만 옵저버 한 더 하다 이 태다 보다 사실 이다 모르다 생각,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,459980,칠포 루바토 이다 하다 알다 신체 능력 필요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,440624,의도 악명 높다 구간 요상하다 방법 넘어가다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,449216,인 세상 개 짤다 재밌다 슈퍼 하이퀄리티루쓰 장치 방 라잇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,431642,신선 문제 있다 하다,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,428569,흙 길 이다 데려가다 곳 다행이 풀 흙 길 이다 하다 초록색 맛있다 흙 싫다 싫다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,538522,인 살짝 도라 있다 문제 재밌다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,535872,백설공주 좀 좁다 느낌 있다 너무 어렵다 생각 끝없이 꼬이다 시작 꾸금레벨 그냥저냥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,535870,이거 좀 의외 어렵다 인내심 요구 장치 많다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,508970,진짜 개 힘들다 미치다 장치 오오우야,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,490324,눈치껏 잘 하다 되다 금 테마 이다 굳이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,490298,리뉴얼 후 플레이 무난하다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,482291,인 넘 민망,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,450875,이다 리뉴얼 테스터 전 안 하다 모르다 새삥 느낌 나다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,437355,노후 시설 마지막 문 보다 설마 이것 끝 이다 생각 허무,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
20,84272,리뉴얼 전 걸리다 별 장치 오류 이다 하다 역시 나 문제 이다 경우 많다 이상 방법 넘어가다 정공법 풀다 더 시간 걸리다 같다 괜찮다 문제 있다 리뉴얼후,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,543635,인 어느 쉽다 넘어가다 있다 없다 그래도 굉장히 매력 이다 테마 자물쇠 뻑뻑 이슈 있다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
22,540276,후하후하하후하후하 지린 다 지린 다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,540269,평생 못 나오다 자신 있다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,540264,처음 정도 아무것 못 하다 힌트 쓰다 쉽다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,513944,인 첫 문제 헤매다 그 담 쉽다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
