,content_id,content,guide,light,interior,story,probability,creativity,production,activity,scale,fear,device,fun,service
0,513069,2인 / 나쁘지 않은 인테리어와 문제지만 각각의 장치들의 작동법을 스스로 터득해야 되서 기본적으로 어려웠고 한문제서 너무 절어서 실패.,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,505540,칠포루바토 맞네! 진짜 웃기고 신기한 장치들이 가득가득한 테.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,500819,괜히 칠바토 칠바토 그러는게 아니었네 나름 방탈 많이 했지만 이건 평점 높게 줄 만 하다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,480104,#344 4인 와 강남 흙길계의 루바토다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,479813,With 이탬 Gp루바토라는 리뷰를 보고 처음엔 장난이겠지 싶었다 하지만 옵저버로 한번 더 한 이탬을 보며 사실일지도 모른다는 생각…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,459980,204. 왜 칠포루바토라하는지 알겠다. 신체능력이 필요하다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,440624,의도치않게 악명 높은 구간을 요상한 방법으로 넘어갔음.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,449216,2인 세상 개짠 재밌는 슈퍼 하이퀄리티루쓰 장치방 라잇,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8,431642,신선한 문제들이 있어서 할만함.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,428569,166. 흙길이라고 데려가준 곳은 다행이도 풀흙길이었다 하 초록색 맛있다 흙싫어싫어.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,538522,2인. 살짝 도라있는 문제들. 재밌다!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,535872,#300 #3인 #리뉴얼후. . 3백설공주. 3명은 좀 좁은 느낌이 있긴 함. 너무 어렵게 생각하면 끝없이 꼬이기 시작. 꾸금레벨은 그냥저냥~,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,535870,아니 이건 좀. . 의외로 어렵고 인내심 요구하는 장치가 많다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,508970,진짜 개힘들다… 미친장치들과.오오우야,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,490324,눈치껏 잘 해야되는 19금테마.지만 굳이?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,490298,리뉴얼 후 플레이. 무난하네요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,482291,#185. 2인. 넘 민망하당.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,450875,2인 리뉴얼 테스터 전꺼를 안해봐서 모르지만 새삥느낌 난다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,437355,노후된 시설 마지막 문 보고 설마이게 끝이야? 생각함 허무,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
20,84272,리뉴얼전 20200407 42분걸림 NH 별 2.0. 753. 장치오류인가.하면 역시 내가 문제인 경우가 많다. 이상한 방법으로 넘어가버렸지만 정공법으로 풀었으려면 더 시간이 걸렸을것같다. 괜찮은 문제가 하나 있었다. . 리뉴얼후. .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,543635,#684. (3인) 어느 하나 쉽게 넘어갈 수 있는 것이 없었다. 그래도 굉장히 매력적인 테마. 자물쇠 뻑뻑 이슈가 있다. (2022.07.18),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
22,540276,후하후하하후하후하. 지린다 지린다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,540269,#498 3p 580 490 360. 평생못나올자신있음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,540264,처음 20분정도는 아무것도 못했다 . . 힌트쓰면 쉬워진다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,513944,#147. 2인. 첫문제만 헤맸고 그담부턴 쉬웠다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,481850,재미있게했던 기억이있음. 방린이 썸녀랑 둘이했어서 탈출 실패했던거같기도하고.긴가민가,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27,485231,#282_2명 그냥 소소한 재즈 바 같은 인테리어,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,477712,나름 문제 풀이를 내놓았지만 에피타이져 후에 디저트 먹고나온 느낌. 그나마 코드에서 좋은 방탈 이란걸 첫방이라 몰랐었음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,470627,마지막장치아쉽.재밌게잘만듬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
30,466134,"평점은 낮게 드리지만, 정말 재밌는 테마입니다.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,543633,"#683. (3인) 원초적 재미를 가진 탈옥 테마, 근데 제법 웃긴 구석이 있는. 그리고 조도가 상당히 낮았다ㅠ (2022.07.18)",0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,540771,한 문제에서 크게 절었음에도 30분이 남은 테마. 손목이 조금 아프달까,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,540268,#468 3p 580 460 360. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,540260,처음에 순서가 꼬여서 헤맸는데 그 이후로는 무난했다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,513964,#148. 2인. 초반이 어려웠다.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,510427,#278 #3인 손목이 너무 아팠어요. 굳이 그렇게까지 해야 할까 ㅜ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,512192,초반에 조금 빡셌고 그 이후로는 무난했던 것 같음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
