타임스탬프,,guide,,,,,content_id,light,interior,story,probability,creativity,production,activity,scale,fear,device,fun,service
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2023. 11. 15 오후 8:58:42,,0,,,,,361617,0,0,0,0,0,0,0,0,0,-1,,
2023. 11. 15 오후 9:01:10,,0,,,,,424772,-1,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:01:29,,0,,,,,430139,0,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:01:48,,0,,,,,431064,-1,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:02:04,,0,,,,,432520,-1,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:02:12,,0,,,,,432856,-1,0,0,0,0,0,0,0,1,0,,
2023. 11. 15 오후 9:05:50,,0,,,,,427737,0,0,0,0,0,0,0,0,0,-1,,
2023. 11. 15 오후 9:06:54,,0,,,,,437360,0,0,0,0,0,0,0,0,-1,0,,
2023. 11. 15 오후 9:07:06,,0,,,,,442032,0,0,0,0,0,0,0,0,1,0,,
2023. 11. 15 오후 9:07:14,,0,,,,,443656,0,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:07:29,,0,,,,,433758,0,1,0,0,0,1,0,1,0,0,,
2023. 11. 15 오후 9:07:47,,0,,,,,441504,0,0,0,0,0,0,0,0,0,-1,,
2023. 11. 15 오후 9:08:29,,0,,,,,448520,0,0,0,0,0,-1,0,0,0,0,,
2023. 11. 15 오후 9:08:44,,0,,,,,455215,0,0,0,0,0,0,0,0,0,1,,
2023. 11. 15 오후 9:08:59,,0,,,,,456159,0,1,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:09:06,,0,,,,,459069,0,0,0,0,0,0,0,0,0,0,,
2023. 11. 15 오후 9:09:15,,0,,,,,461424,0,0,0,0,0,1,0,0,0,0,,
2023. 11. 15 오후 9:11:42,,0,,,,,471604,0,1,0,0,0,1,0,0,0,0,1,0
2023. 11. 15 오후 9:12:05,,0,,,,,527519,0,0,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:12:13,,0,,,,,540487,0,0,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:12:23,,0,,,,,441501,0,0,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:12:42,,0,,,,,455220,0,0,0,0,1,-1,0,-1,0,0,1,0
2023. 11. 15 오후 9:12:52,,0,,,,,456161,0,1,0,0,0,0,0,0,0,0,0,0
2023. 11. 15 오후 9:13:03,,0,,,,,465661,0,1,0,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:13:39,,0,,,,,467061,0,1,0,0,1,0,0,0,0,0,0,0
2023. 11. 15 오후 9:13:52,,0,,,,,467183,0,0,1,0,0,0,0,0,0,0,1,0
2023. 11. 15 오후 9:14:07,,0,,,,,494295,0,0,0,0,0,1,0,0,0,-1,0,0
2023. 11. 15 오후 9:14:17,,0,,,,,501061,0,1,0,0,0,1,0,0,0,0,0,0
2023. 11. 15 오후 9:14:33,,0,,,,,511940,0,0,0,0,0,1,0,0,0,-1,0,-1
